ZONE I = 21,J = 21,F=POINT
0.95	0.05	6.93889e-17
0.95	0.05	6.93889e-17
1	0	-0
1	0	-0
1	0	-0
1	0	-0
1	0	-0
1	0	-0
1	0	-0
1	0	-0
1	0	-0
1	0	-0
1	0	-0
1	0	-0
1	0	-0
1	0	-0
1	0	-0
1	0	-0
1	0	-0
1	0	-0
1	0	-0
1	0	-0
1	0	-0
